IM02094056;APLF_COR_GIRAFE;Rejected
IM02111250;USERF_COR_VIP;Categorize
IM02115336;ADMF_COR_GENESIS_MIC;Categorize
IM02111778;APLF_COR_CATALOGO_E2E;Categorize
IM02118857;ADMF_COR_GEO;Work In Progress
IM02118769;ADMF_COR_GEO;Categorize
IM02125251;APLF_COR_CATALOGO_E2E;Categorize
IM02125254;USERF_COR_VIP;Categorize
IM02128783;APLF_COR_CATALOGO_E2E;Pending Change
IM02135484;APLF_COR_KINGDOM;Pending Change
IM02136531;USERF_COR_VIP;Categorize
IM02138138;APLF_COR_CATALOGO_E2E;Pending Change
IM02142244;APLF_COR_CATALOGO_E2E;Pending Change
IM02143945;APLF_COR_KINGDOM;Pending Change
IM02145161;APLF_COR_CATALOGO_E2E;Categorize
IM02146246;USERF_COR_VIP;Work In Progress
IM02149244;APLF_COR_KINGDOM;Pending Change
IM02149331;APLF_COR_CATALOGO_E2E;Work In Progress
